id	depth	sentence	fol	folpol	vf	vfpol	tags	drs
18	1	greg did not clean three birds that did not chase all bears	exists x1.(greg(x1) & -exists x2.(three(x2) & bird(x2) & -all x3.(bear(x3) -> chase(x3,x2)) & clean(x1,x2)))	[('greg', 1), ('three', 0), ('bird', 0), ('bear', 0), ('chase', 1), ('clean', 0)]	EXIST GREG NOT THREE AND BIRD NOT ALL BEAR CHASE CLEAN	[[greg,pos],[bird,neg],[bear,neg],[chase,pos],[clean,neg]]	sbj_quant:no;obj_quant:yes;negation:yes;adjective:no;peripheral:yes;center:no;adverb:no;conjunction:no;disjunction:no	b1 REF x1 [SEP] b1 greg x1 [SEP] b1 NOT b2 [SEP] b2 REF x2 [SEP] b2 three x2 [SEP] b2 bird x2 [SEP] b2 NOT b3 [SEP] b3 IMP b4 b5 [SEP] b4 REF x3 [SEP] b4 bear x3 [SEP] b5 chase x3 x2 [SEP] b2 clean x1 x2
19	1	two horses that three lions followed loved daniel	exists x1.(two(x1) & horse(x1) & exists x2.(three(x2) & lion(x2) & follow(x2,x1)) & exists x3.(daniel(x3) & love(x1,x3)))	[('two', 1), ('horse', 1), ('three', 1), ('lion', 1), ('follow', 1), ('daniel', 1), ('love', 1)]	TWO AND HORSE THREE LION INV FOLLOW EXIST DANIEL LOVE	[[horse,pos],[lion,pos],[follow,pos],[daniel,pos],[love,pos]]	sbj_quant:yes;obj_quant:no;negation:no;adjective:no;peripheral:no;center:yes;adverb:no;conjunction:no;disjunction:no	b1 REF x1 [SEP] b1 REF x2 [SEP] b1 REF x3 [SEP] b1 two x1 [SEP] b1 horse x1 [SEP] b1 three x2 [SEP] b1 lion x2 [SEP] b1 follow x2 x1 [SEP] b1 daniel x3 [SEP] b1 love x1 x3
20	1	all bears that did not clean two birds did not cry and swim	all x1.((bear(x1) & -exists x2.(two(x2) & bird(x2) & clean(x2,x1))) -> -(cry(x1) & swim(x1)))	[('bear', 0), ('two', 1), ('bird', 1), ('clean', 1), ('cry', 0), ('swim', 0)]	ALL AND BEAR NOT TWO BIRD CLEAN NOT AND CRY SWIM	[[bear,neg],[bird,pos],[clean,pos],[cry,neg],[swim,neg]]	sbj_quant:yes;obj_quant:no;negation:yes;adjective:no;peripheral:yes;center:no;adverb:no;conjunction:yes;disjunction:no	b1 IMP b2 b3 [SEP] b2 REF x1 [SEP] b2 bear x1 [SEP] b2 NOT b3 [SEP] b3 REF x2 [SEP] b3 two x2 [SEP] b3 bird x2 [SEP] b3 clean x2 x1 [SEP] b3 NOT b4 [SEP] b4 cry x1 [SEP] b4 swim x1
21	2	all dogs that chased three lions that two foxes accepted cleaned tom	all x1.((dog(x1) & exists x2.(three(x2) & lion(x2) & exists x3.(two(x3) & fox(x3) & accept(x3,x2)) & chase(x2,x1))) -> exists x4.(tom(x4) & clean(x1,x4)))	[('dog', 0), ('three', 0), ('lion', 0), ('two', 0), ('fox', 0), ('accept', 0), ('chase', 0), ('tom', 1), ('clean', 1)]	ALL AND DOG THREE AND LION TWO FOX INV ACCEPT CHASE EXIST TOM CLEAN	[[dog,neg],[lion,neg],[fox,neg],[accept,neg],[chase,neg],[tom,pos],[clean,pos]]	sbj_quant:yes;obj_quant:no;negation:no;adjective:no;peripheral:yes;center:yes;adverb:no;conjunction:no;disjunction:no	b1 IMP b2 b3 [SEP] b2 REF x1 [SEP] b2 REF x2 [SEP] b2 REF x3 [SEP] b2 dog x1 [SEP] b2 three x2 [SEP] b2 lion x2 [SEP] b2 two x3 [SEP] b2 fox x3 [SEP] b2 accept x3 x2 [SEP] b2 chase x2 x1 [SEP] b3 REF x4 [SEP] b3 tom x4 [SEP] b3 clean x1 x4
22	2	two horses that all birds that three dogs accepted kissed swam or ran	exists x1.(two(x1) & horse(x1) & all x2.((bird(x2) & exists x3.(three(x3) & dog(x3) & accept(x3,x2))) -> kiss(x2,x1)) & (swim(x1) | run(x1)))	[('two', 1), ('horse', 1), ('bird', 0), ('three', 0), ('dog', 0), ('accept', 0), ('kiss', 1), ('swim', 1), ('run', 1)]	TWO AND HORSE ALL AND BIRD THREE DOG INV ACCEPT INV KISS OR SWIM RUN	[[horse,pos],[bird,neg],[dog,neg],[accept,neg],[kiss,pos],[swim,pos],[run,pos]]	sbj_quant:yes;obj_quant:no;negation:no;adjective:no;peripheral:no;center:yes;adverb:no;conjunction:no;disjunction:yes	b1 REF x1 [SEP] b1 two x1 [SEP] b1 horse x1 [SEP] b1 IMP b2 b3 [SEP] b2 REF x2 [SEP] b2 REF x3 [SEP] b2 bird x2 [SEP] b2 three x3 [SEP] b2 dog x3 [SEP] b2 accept x3 x2 [SEP] b3 kiss x2 x1 [SEP] b1 DIS b2 b3 [SEP] b2 swim x1 [SEP] b3 run x1
23	2	all dogs that did not follow three bears that rushed slowly cried or swam	all x1.((dog(x1) & -exists x2.(three(x2) & bear(x2) & rush(x2) & slowly(x2) & follow(x2,x1))) -> (cry(x1) | swim(x1)))	[('dog', 0), ('three', 1), ('bear', 1), ('rush', 1), ('slowly', 1), ('follow', 1), ('cry', 1), ('swim', 1)]	ALL AND DOG NOT THREE AND BEAR AND RUSH SLOWLY FOLLOW OR CRY SWIM	[[dog,neg],[bear,pos],[rush,pos],[slowly,pos],[follow,pos],[cry,pos],[swim,pos]]	sbj_quant:yes;obj_quant:no;negation:yes;adjective:no;peripheral:yes;center:no;adverb:yes;conjunction:no;disjunction:yes	b1 IMP b2 b3 [SEP] b2 REF x1 [SEP] b2 dog x1 [SEP] b2 NOT b3 [SEP] b3 REF x2 [SEP] b3 three x2 [SEP] b3 bear x2 [SEP] b3 rush x2 [SEP] b3 slowly x2 [SEP] b3 follow x2 x1 [SEP] b3 DIS b4 b5 [SEP] b4 cry x1 [SEP] b5 swim x1
24	2	daniel did not chase three cats that did not lick two tigers that did not accept all foxes	exists x1.(daniel(x1) & -exists x2.(three(x2) & cat(x2) & -exists x3.(two(x3) & tiger(x3) & -all x4.(fox(x4) -> accept(x4,x3)) & lick(x3,x2)) & chase(x1,x2)))	[('daniel', 1), ('three', 0), ('cat', 0), ('two', 1), ('tiger', 1), ('fox', 1), ('accept', 0), ('lick', 1), ('chase', 0)]	EXIST DANIEL NOT THREE AND CAT NOT TWO AND TIGER NOT ALL FOX ACCEPT LICK CHASE	[[daniel,pos],[cat,neg],[tiger,pos],[fox,pos],[accept,neg],[lick,pos],[chase,neg]]	sbj_quant:no;obj_quant:yes;negation:yes;adjective:no;peripheral:yes;center:no;adverb:no;conjunction:no;disjunction:no	b1 REF x1 [SEP] b1 daniel x1 [SEP] b1 NOT b2 [SEP] b2 REF x2 [SEP] b2 three x2 [SEP] b2 cat x2 [SEP] b2 NOT b3 [SEP] b3 REF x3 [SEP] b3 two x3 [SEP] b3 tiger x3 [SEP] b3 NOT b4 [SEP] b4 IMP b5 b6 [SEP] b5 REF x4 [SEP] b5 fox x4 [SEP] b6 accept x4 x3 [SEP] b3 lick x3 x2 [SEP] b2 chase x1 x2
25	2	every horse that did not lick a bear that did not like two small foxes chased ann	all x1.((horse(x1) & -exists x2.(bear(x2) & -exists x3.(two(x3) & fox(x3) & small(x3) & like(x3,x2)) & lick(x2,x1))) -> exists x4.(ann(x4) & chase(x1,x4)))	[('horse', 0), ('bear', 1), ('two', 0), ('fox', 0), ('small', 0), ('like', 0), ('lick', 1), ('ann', 1), ('chase', 1)]	ALL AND HORSE NOT EXIST AND BEAR NOT TWO AND FOX SMALL LIKE LICK EXIST ANN CHASE	[[horse,neg],[bear,pos],[fox,neg],[small,neg],[like,neg],[lick,pos],[ann,pos],[chase,pos]]	sbj_quant:yes;obj_quant:no;negation:yes;adjective:yes;peripheral:yes;center:no;adverb:no;conjunction:no;disjunction:no	b1 IMP b2 b3 [SEP] b2 REF x1 [SEP] b2 horse x1 [SEP] b2 NOT b3 [SEP] b3 REF x2 [SEP] b3 bear x2 [SEP] b3 NOT b4 [SEP] b4 REF x3 [SEP] b4 two x3 [SEP] b4 fox x3 [SEP] b4 small x3 [SEP] b4 like x3 x2 [SEP] b3 lick x2 x1 [SEP] b3 REF x4 [SEP] b3 ann x4 [SEP] b3 chase x1 x4
26	2	every monkey that liked three rabbits that cried lazily escaped and moved	all x1.((monkey(x1) & exists x2.(three(x2) & rabbit(x2) & cry(x2) & lazily(x2) & like(x2,x1))) -> (escape(x1) & move(x1)))	[('monkey', 0), ('three', 0), ('rabbit', 0), ('cry', 0), ('lazily', 0), ('like', 0), ('escape', 1), ('move', 1)]	ALL AND MONKEY THREE AND RABBIT AND CRY LAZILY LIKE AND ESCAPE MOVE	[[monkey,neg],[rabbit,neg],[cry,neg],[lazily,neg],[like,neg],[escape,pos],[move,pos]]	sbj_quant:yes;obj_quant:no;negation:no;adjective:no;peripheral:yes;center:no;adverb:yes;conjunction:yes;disjunction:no	b1 IMP b2 b3 [SEP] b2 REF x1 [SEP] b2 REF x2 [SEP] b2 monkey x1 [SEP] b2 three x2 [SEP] b2 rabbit x2 [SEP] b2 cry x2 [SEP] b2 lazily x2 [SEP] b2 like x2 x1 [SEP] b3 escape x1 [SEP] b3 move x1
27	2	a cat that every bird that did not swim lazily accepted did not dance or move	exists x1.(cat(x1) & all x2.((bird(x2) & -(swim(x2) & lazily(x2))) -> accept(x2,x1)) & -(dance(x1) | move(x1)))	[('cat', 1), ('bird', 0), ('swim', 1), ('lazily', 1), ('accept', 1), ('dance', 0), ('move', 0)]	EXIST AND CAT ALL AND BIRD NOT AND SWIM LAZILY INV ACCEPT NOT OR DANCE MOVE	[[cat,pos],[bird,neg],[swim,pos],[lazily,pos],[accept,pos],[dance,neg],[move,neg]]	sbj_quant:yes;obj_quant:no;negation:yes;adjective:no;peripheral:no;center:yes;adverb:yes;conjunction:no;disjunction:yes	b1 REF x1 [SEP] b1 cat x1 [SEP] b1 IMP b2 b3 [SEP] b2 REF x2 [SEP] b2 bird x2 [SEP] b2 NOT b3 [SEP] b3 swim x2 [SEP] b3 lazily x2 [SEP] b3 accept x2 x1 [SEP] b1 NOT b2 [SEP] b2 DIS b3 b4 [SEP] b3 dance x1 [SEP] b4 move x1
28	2	two birds that did not accept all dogs that did not kiss three tigers slept slowly	exists x1.(two(x1) & bird(x1) & -all x2.((dog(x2) & -exists x3.(three(x3) & tiger(x3) & kiss(x3,x2))) -> accept(x2,x1)) & sleep(x1) & slowly(x1))	[('two', 1), ('bird', 1), ('dog', 1), ('three', 0), ('tiger', 0), ('kiss', 0), ('accept', 0), ('sleep', 1), ('slowly', 1)]	TWO AND BIRD NOT ALL AND DOG NOT THREE TIGER KISS ACCEPT AND SLEEP SLOWLY	[[bird,pos],[dog,pos],[tiger,neg],[kiss,neg],[accept,neg],[sleep,pos],[slowly,pos]]	sbj_quant:yes;obj_quant:no;negation:yes;adjective:no;peripheral:yes;center:no;adverb:yes;conjunction:no;disjunction:no	b1 REF x1 [SEP] b1 two x1 [SEP] b1 bird x1 [SEP] b1 NOT b2 [SEP] b2 IMP b3 b4 [SEP] b3 REF x2 [SEP] b3 dog x2 [SEP] b3 NOT b4 [SEP] b4 REF x3 [SEP] b4 three x3 [SEP] b4 tiger x3 [SEP] b4 kiss x3 x2 [SEP] b4 accept x2 x1 [SEP] b1 sleep x1 [SEP] b1 slowly x1
29	2	a horse that one dog that every polite bear kissed kicked escaped	exists x1.(horse(x1) & exists x2.(dog(x2) & all x3.((bear(x3) & polite(x3)) -> kiss(x3,x2)) & kick(x2,x1)) & escape(x1))	[('horse', 1), ('dog', 1), ('bear', 0), ('polite', 0), ('kiss', 1), ('kick', 1), ('escape', 1)]	EXIST AND HORSE EXIST AND DOG ALL AND BEAR POLITE INV KISS INV KICK ESCAPE	[[horse,pos],[dog,pos],[bear,neg],[polite,neg],[kiss,pos],[kick,pos],[escape,pos]]	sbj_quant:yes;obj_quant:no;negation:no;adjective:yes;peripheral:no;center:yes;adverb:no;conjunction:no;disjunction:no	b1 REF x1 [SEP] b1 REF x2 [SEP] b1 horse x1 [SEP] b1 dog x2 [SEP] b1 IMP b2 b3 [SEP] b2 REF x3 [SEP] b2 bear x3 [SEP] b2 polite x3 [SEP] b3 kiss x3 x2 [SEP] b1 kick x2 x1 [SEP] b1 escape x1
30	2	two horses that three cats that all tigers did not kick did not kiss did not follow tom	exists x1.(two(x1) & horse(x1) & exists x2.(three(x2) & cat(x2) & all x3.(tiger(x3) -> -kick(x3,x2)) & -kiss(x2,x1)) & -exists x4.(tom(x4) & follow(x1,x4)))	[('two', 1), ('horse', 1), ('three', 1), ('cat', 1), ('tiger', 0), ('kick', 0), ('kiss', 0), ('tom', 0), ('follow', 0)]	TWO AND HORSE THREE AND CAT ALL TIGER NOT INV KICK NOT INV KISS NOT EXIST TOM FOLLOW	[[horse,pos],[cat,pos],[tiger,neg],[kick,neg],[kiss,neg],[tom,neg],[follow,neg]]	sbj_quant:yes;obj_quant:no;negation:yes;adjective:no;peripheral:no;center:yes;adverb:no;conjunction:no;disjunction:no	b1 REF x1 [SEP] b1 REF x2 [SEP] b1 two x1 [SEP] b1 horse x1 [SEP] b1 three x2 [SEP] b1 cat x2 [SEP] b1 IMP b2 b3 [SEP] b2 REF x3 [SEP] b2 tiger x3 [SEP] b3 NOT b4 [SEP] b4 kick x3 x2 [SEP] b1 NOT b2 [SEP] b2 kiss x2 x1 [SEP] b1 NOT b2 [SEP] b2 REF x4 [SEP] b2 tom x4 [SEP] b2 follow x1 x4
31	3	one bird that a bear that every rabbit that kicked every monkey did not love did not touch swam	exists x1.(bird(x1) & exists x2.(bear(x2) & all x3.((rabbit(x3) & all x4.(monkey(x4) -> kick(x4,x3))) -> -love(x3,x2)) & -touch(x2,x1)) & swim(x1))	[('bird', 1), ('bear', 1), ('rabbit', 0), ('monkey', 1), ('kick', 0), ('love', 0), ('touch', 0), ('swim', 1)]	EXIST AND BIRD EXIST AND BEAR ALL AND RABBIT ALL MONKEY KICK NOT INV LOVE NOT INV TOUCH SWIM	[[bird,pos],[bear,pos],[rabbit,neg],[monkey,pos],[kick,neg],[love,neg],[touch,neg],[swim,pos]]	sbj_quant:yes;obj_quant:no;negation:yes;adjective:no;peripheral:yes;center:yes;adverb:no;conjunction:no;disjunction:no	b1 REF x1 [SEP] b1 REF x2 [SEP] b1 bird x1 [SEP] b1 bear x2 [SEP] b1 IMP b2 b3 [SEP] b2 REF x3 [SEP] b2 rabbit x3 [SEP] b2 IMP b3 b4 [SEP] b3 REF x4 [SEP] b3 monkey x4 [SEP] b4 kick x4 x3 [SEP] b3 NOT b4 [SEP] b4 love x3 x2 [SEP] b1 NOT b2 [SEP] b2 touch x2 x1 [SEP] b1 swim x1
32	3	greg did not follow all rabbits that kicked three foxes that did not kick all lions that did not run	exists x1.(greg(x1) & -all x2.((rabbit(x2) & exists x3.(three(x3) & fox(x3) & -all x4.((lion(x4) & -run(x4)) -> kick(x4,x3)) & kick(x3,x2))) -> follow(x1,x2)))	[('greg', 1), ('rabbit', 1), ('three', 1), ('fox', 1), ('lion', 1), ('run', 0), ('kick', 0), ('kick', 1), ('follow', 0)]	EXIST GREG NOT ALL AND RABBIT THREE AND FOX NOT ALL AND LION NOT RUN KICK KICK FOLLOW	[[greg,pos],[rabbit,pos],[fox,pos],[lion,pos],[run,neg],[kick,neg],[kick,pos],[follow,neg]]	sbj_quant:no;obj_quant:yes;negation:yes;adjective:no;peripheral:yes;center:no;adverb:no;conjunction:no;disjunction:no	b1 REF x1 [SEP] b1 greg x1 [SEP] b1 NOT b2 [SEP] b2 IMP b3 b4 [SEP] b3 REF x2 [SEP] b3 REF x3 [SEP] b3 rabbit x2 [SEP] b3 three x3 [SEP] b3 fox x3 [SEP] b3 NOT b4 [SEP] b4 IMP b5 b6 [SEP] b5 REF x4 [SEP] b5 lion x4 [SEP] b5 NOT b6 [SEP] b6 run x4 [SEP] b6 kick x4 x3 [SEP] b3 kick x3 x2 [SEP] b4 follow x1 x2
